2012 Spec TaG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Race 1,,Race 2,,Race 3,,Race 4,,Race 5,,Race 6,,Race 7,,Race 8,,Race 9,,Race 10,,Race 11,,Race 12,,Race 13,,Race 14,,
,4/14/2012,,4/15/2012,,4/22/2012,,5/12/2012,,5/13/2012,,6/03/2012,,6/10/2012,,7/01/2012,,7/15/2012,,8/12/2012,,8/25/2012,,08/26/2012,,09/23/2012,,09/30/2012,,
Driver,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Total
Brandon Cross,1,50,1,50,2,42,1,50,1,50,0,0,1,50,1,50,0,0,0,0,1,50,1,50,1,50,2,42,534
Greg Padden,0,0,0,0,1,50,2,42,2,42,2,42,2,42,2,42,3,35,2,42,0,0,3,35,2,42,5,30,444
Maddisen Padden,0,0,6,28,6,28,0,0,3,35,1,50,7,26,3,35,2,42,5,30,2,42,0,0,4,32,1,50,398
Dan Traub,2,42,2,42,0,0,3,35,0,0,3,35,3,35,4,32,4,32,3,35,3,35,4,32,0,0,3,35,390
Nelson Sando,0,0,3,35,5,30,5,30,5,30,4,32,5,30,5,30,6,28,0,0,0,0,7,26,7,26,8,24,321
Brent Forbes,0,0,8,24,0,0,0,0,0,0,0,0,4,32,0,0,5,30,7,26,6,28,6,28,3,35,4,32,235
Fred Loeffler,0,0,7,26,0,0,4,32,4,32,0,0,6,28,0,0,0,0,6,28,7,26,5,30,6,28,0,0,230
Scott Heavin,3,35,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
Stephen Davis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,50
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
