2012 Yamaha Jr. Sportsman Race #2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Race 1,,Race 2,,Race 3,,Race 4,,Race 5,,Race 6,,Race 7,,Race 8,,Race 9,,Race 10,,Race 11,,Race 12,,Race 13,,Race 14,,
,4/14/2012,,4/15/2012,,4/22/2012,,5/12/2012,,5/13/2012,,6/03/2012,,6/10/2012,,7/01/2012,,7/15/2012,,8/12/2012,,8/25/2012,,08/26/2012,,09/23/2012,,09/30/2012,,
Driver,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Total
Garrett Moran,0,0,2,42,2,42,1,50,1,50,1,50,3,35,0,0,3,35,1,50,1,50,4,32,2,42,0,0,478
Michael Cruz,1,50,3,35,1,50,0,0,3,35,3,35,0,0,1,50,2,42,0,0,2,42,2,42,D,Q,3,35,416
Jordan Delphia,3,35,1,50,3,35,2,42,0,0,0,0,0,0,4,32,1,50,5,30,4,32,7,26,1,50,6,28,410
Luke Fineis,2,42,5,30,0,0,3,35,4,32,4,32,2,42,0,0,5,30,3,35,5,30,5,30,0,0,2,42,380
Adam Sturgill,0,0,0,0,0,0,5,30,5,30,6,28,5,30,3,35,4,32,2,42,3,35,1,50,4,32,5,30,374
Gabriell Gilbert,0,0,4,32,7,26,4,32,2,42,2,42,6,28,0,0,0,0,6,28,6,28,3,35,6,28,8,24,345
Drew Lindley,0,0,0,0,8,24,0,0,6,28,5,30,1,50,2,42,6,28,9,22,8,24,8,24,9,22,7,26,320
Mark Fineis,6,28,0,0,10,20,10,20,0,0,9,22,10,20,8,24,0,0,8,24,9,22,6,28,10,20,1,50,278
Chandler Moran,7,26,0,0,0,0,0,0,12,18,11,19,13,17,13,17,10,20,10,20,13,17,11,19,3,35,4,32,240
Zach Pretorius,0,0,0,0,11,19,13,17,13,17,10,20,7,26,10,20,9,22,0,0,7,26,D,Q,5,30,10,20,217
Jack Chastain,0,0,0,0,9,22,14,16,10,20,D,Q,9,22,7,26,7,26,7,26,10,20,10,20,13,17,0,0,215
Tony Petersen,5,30,8,24,4,32,6,28,8,24,7,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164
Aiden Lindley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,14,16,12,18,12,18,12,18,8,24,11,19,135
