2012 Jr. Yamaha Can Race #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Race 1,,Race 2,,Race 3,,Race 4,,Race 5,,Race 6,,Race 7,,Race 8,,Race 9,,Race 10,,Race 11,,Race 12,,Race 13,,Race 14,,
,4/014/12,,04/15/12,,04/22/12,,05/12/12,,05/13/12,,06/03/12,,06/10/12,,07/01/12,,07/15/12,,08/12/12,,08/25/12,,08/26/12,,09/23/12,,09/30/12,,
Driver,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Total
Sam Cate,2,42,1,50,2,42,1,50,1,50,1,50,2,42,1,50,2,42,1,50,2,42,0,0,0,0,0,0,510
Zach Holden,0,0,3,35,1,50,2,42,0,0,0,0,1,50,2,42,1,50,3,35,3,35,2,42,2,42,1,50,473
Davis Durrett,0,0,0,0,5,30,4,32,3,35,2,42,3,35,4,32,5,30,6,28,4,32,3,35,1,50,0,0,381
Joey Eppink,0,0,0,0,3,35,3,35,2,42,3,35,4,32,3,35,0,0,5,30,6,28,6,28,5,30,2,42,372
Luke Durrett,0,0,0,0,11,19,8,24,7,26,0,0,7,26,6,28,9,22,9,22,8,24,11,19,3,35,3,35,280
Jon Giddens,7,26,13,17,9,22,7,26,0,0,6,28,5,30,0,0,7,26,13,17,12,18,4,32,4,32,0,0,274
Christian Hansen,0,0,0,0,10,20,D,Q,10,20,9,22,0,0,8,24,10,20,10,20,9,22,8,24,8,24,6,28,224
Tabatha Newforth,0,0,12,18,14,16,0,0,8,24,8,24,6,28,7,26,11,19,0,0,11,19,12,18,11,19,D,Q,211
Mick Gabriel,0,0,11,19,13,17,11,19,9,22,7,26,0,0,10,20,12,18,11,19,0,0,0,0,9,22,7,26,208
Chandler Horton,0,0,0,0,6,28,0,0,0,0,0,0,0,0,5,30,4,32,4,32,0,0,5,30,10,20,4,32,204
Bill Williamson Jr.,0,0,0,0,7,26,0,0,0,0,5,30,0,0,0,0,0,0,8,24,7,26,7,26,0,0,0,0,132
Jared Thomas,1,50,2,42,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124
Tony Petersen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,10,20,10,20,6,28,5,30,114
Nicolas Goodfleisch,0,0,D,Q,8,24,6,28,5,30,0,0,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
Noah Durbin,5,30,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
Kyle Tilley,0,0,0,0,0,0,0,0,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
