2017 L0206 CIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Race 1,,Race 2,,Race 3,,Race 4,,Race 5,,Race 6,,Race 7,,Race 8,,Race 9,,Race 10,,Race 11,,Race 12,,Race 13,,Race 14,,
,4/02/17,,4/09/17,,4/30/17,,5/14/17,,6/11/17,,6/25/17,,7/01/17,,7/02/17,,7/23/17,,8/27/17,,9/03/17,,09/16/17,,09/17/17,,10/08/17,,
Driver,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Total
Eric Fagan,1,50,1,50,0,0,1,50,1,50,3,35,1,50,2,42,0,0,0,0,0,0,0,0,0,0,0,0,327
Steve Knight,5,30,4,32,0,0,2,42,8,24,1,50,3,35,7,26,0,0,0,0,0,0,0,0,0,0,0,0,239
Alan Elwood,3,35,3,35,0,0,4,32,7,26,6,28,4,32,5,30,0,0,0,0,0,0,0,0,0,0,0,0,218
Evan McCorquodale,15,15,6,28,0,0,7,26,2,42,2,42,23,7,3,35,0,0,0,0,0,0,0,0,0,0,0,0,195
Cameron Fox,20,10,9,22,0,0,5,30,10,20,11,19,5,30,6,28,0,0,0,0,0,0,0,0,0,0,0,0,159
Ben Stahl,8,24,7,26,0,0,6,28,11,19,7,26,0,0,8,24,0,0,0,0,0,0,0,0,0,0,0,0,147
Scott Hamble,13,17,11,19,0,0,14,16,9,22,0,0,2,42,10,20,0,0,0,0,0,0,0,0,0,0,0,0,136
Kacy Stahl,26,4,18,12,0,0,12,18,13,17,9,22,6,28,11,19,0,0,0,0,0,0,0,0,0,0,0,0,120
Tracy Conlin,14,16,14,16,0,0,8,24,14,16,9,22,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114
Mark Nevill,17,13,13,17,0,0,13,17,18,12,15,15,7,26,20,10,0,0,0,0,0,0,0,0,0,0,0,0,110
Drew Lansing,DQ,DQ,5,30,0,0,3,35,0,0,DQ,DQ,25,5,9,22,0,0,0,0,0,0,0,0,0,0,0,0,92
Taylor Bookout,22,8,20,10,0,0,15,15,15,15,12,18,26,4,12,18,0,0,0,0,0,0,0,0,0,0,0,0,88
John Vottero,0,0,17,13,0,0,18,12,21,9,19,11,16,14,18,12,0,0,0,0,0,0,0,0,0,0,0,0,71
Aaron Maxwell,10,20,0,0,0,0,10,20,0,0,0,0,21,9,14,16,0,0,0,0,0,0,0,0,0,0,0,0,65
Grant Pendrey,0,0,19,11,0,0,0,0,28,2,13,17,8,24,25,5,0,0,0,0,0,0,0,0,0,0,0,0,59
Ryan Fox,23,7,0,0,0,0,24,6,16,14,16,14,0,0,16,14,0,0,0,0,0,0,0,0,0,0,0,0,55
Dave Creech ,31,1,0,0,0,0,28,2,0,0,14,16,11,19,17,13,0,0,0,0,0,0,0,0,0,0,0,0,51
Amber McGunegill,39,1,26,4,0,0,26,4,26,4,20,10,15,15,19,11,0,0,0,0,0,0,0,0,0,0,0,0,49
Travis Schebler,16,14,15,15,0,0,23,7,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
Levi Wilbur,0,0,28,2,0,0,25,5,33,1,30,1,9,22,15,15,0,0,0,0,0,0,0,0,0,0,0,0,46
Jonathan Schillinger,0,0,25,5,0,0,29,1,25,5,22,8,12,18,23,7,0,0,0,0,0,0,0,0,0,0,0,0,44
J.D. Marksbury,19,11,0,0,0,0,9,22,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
Corey Flint,29,1,23,7,0,0,16,14,0,0,21,9,22,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
