2017 LO206- Masters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Race 1,,Race 2,,Race 3,,Race 4,,Race 5,,Race 6,,Race 7,,Race 8,,Race 9,,Race 10,,Race 11,,Race 12,,Race 13,,Race 14,,
,4/02/17,,4/09/17,,4/30/17,,5/14/17,,6/11/17,,6/25/17,,7/01/17,,7/02/17,,7/23/17,,8/27/17,,9/03/17,,09/16/17,,09/17/17,,10/08/17,,
Driver,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Total
Mark Nevill,6,28,3,35,0,0,6,28,2,42,1,50,2,42,2,42,0,0,0,0,0,0,0,0,0,0,0,0,267
George Wilson,2,42,1,50,0,0,3,35,4,32,2,42,7,26,7,26,0,0,0,0,0,0,0,0,0,0,0,0,253
John O'Keefe,1,50,2,42,0,0,2,42,1,50,0,0,15,15,5,30,0,0,0,0,0,0,0,0,0,0,0,0,229
Kevin Scott,5,30,7,26,0,0,8,24,5,30,11,19,3,35,9,22,0,0,0,0,0,0,0,0,0,0,0,0,186
Rob Lehmann,4,32,6,28,0,0,5,30,10,20,8,24,16,14,3,35,0,0,0,0,0,0,0,0,0,0,0,0,183
Corey Flint,14,16,12,18,0,0,7,26,6,28,5,30,4,32,4,32,0,0,0,0,0,0,0,0,0,0,0,0,182
John Vottero,0,0,4,32,0,0,10,20,3,35,3,35,8,24,11,19,0,0,0,0,0,0,0,0,0,0,0,0,165
J.D. Marksbury,0,0,0,0,0,0,4,32,12,18,0,0,1,50,6,28,0,0,0,0,0,0,0,0,0,0,0,0,128
John Fox,12,18,23,7,0,0,9,22,23,7,7,26,9,22,12,18,0,0,0,0,0,0,0,0,0,0,0,0,120
John Ewing,3,35,5,30,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115
Erin Rake,9,22,8,24,0,0,11,19,19,11,15,15,0,0,13,17,0,0,0,0,0,0,0,0,0,0,0,0,108
James Enney,15,15,11,19,0,0,12,18,26,4,9,22,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,98
Dave Creech,16,14,0,0,0,0,16,14,28,2,0,0,5,30,8,24,0,0,0,0,0,0,0,0,0,0,0,0,84
Tom Harleman,11,19,0,0,0,0,22,8,8,24,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
Rodney Evans,19,11,10,20,0,0,13,17,0,0,6,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
Stan Beard,0,0,15,15,0,0,15,15,14,16,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
Fred Loeffler,20,10,9,22,0,0,24,6,27,3,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
David Lee,26,4,21,9,0,0,21,9,22,8,18,12,0,0,16,14,0,0,0,0,0,0,0,0,0,0,0,0,56
Daryl Dillon,24,6,18,12,18,12,0,0,20,10,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
Eric Mussler,22,8,0,0,0,0,0,0,21,9,20,10,14,16,19,11,0,0,0,0,0,0,0,0,0,0,0,0,54
Richard Mienheartt,27,3,13,17,0,0,17,13,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
Bill Bruce,0,0,14,16,0,0,0,0,11,19,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
Bennett Taylor,0,0,22,8,0,0,25,5,0,0,14,16,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,44
