2017 Yamaha Masters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Race 1,,Race 2,,Race 3,,Race 4,,Race 5,,Race 6,,Race 7,,Race 8,,Race 9,,Race 10,,Race 11,,Race 12,,Race 13,,Race 14,,
,4/02/17,,4/09/17,,4/30/17,,5/14/17,,6/11/17,,6/25/17,,7/01/17,,7/02/17,,7/23/17,,8/27/17,,9/03/17,,09/16/17,,09/17/17,,10/08/17,,
Driver,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Total
Ron Petersen,1,50,1,50,0,0,1,50,0,0,1,50,2,42,1,50,0,0,0,0,0,0,0,0,0,0,0,0,292
John O'Keefe,18,12,2,42,0,0,2,42,2,42,3,35,3,35,6,28,0,0,0,0,0,0,0,0,0,0,0,0,236
Johnny O'Keefe,6,28,12,18,0,0,3,35,4,32,5,30,6,28,3,35,0,0,0,0,0,0,0,0,0,0,0,0,206
Christopher Hacker,7,26,10,20,0,0,10,20,9,22,7,26,4,32,2,42,0,0,0,0,0,0,0,0,0,0,0,0,188
Mike Sargent,4,32,8,24,0,0,9,22,7,26,8,24,9,22,4,32,0,0,0,0,0,0,0,0,0,0,0,0,182
Alex DeVliegher,3,35,3,35,0,0,0,0,5,30,4,32,5,30,11,19,0,0,0,0,0,0,0,0,0,0,0,0,181
Kevin Scott,10,20,4,32,0,0,7,26,8,24,12,18,12,18,8,24,0,0,0,0,0,0,0,0,0,0,0,0,162
Michael Wells,9,22,6,28,0,0,5,30,13,17,6,28,7,26,21,9,0,0,0,0,0,0,0,0,0,0,0,0,160
Scott Powers,8,24,5,30,0,0,6,28,17,13,11,19,10,20,7,26,0,0,0,0,0,0,0,0,0,0,0,0,160
Barry Miller,11,19,20,10,0,0,13,17,11,19,9,22,19,11,9,22,0,0,0,0,0,0,0,0,0,0,0,0,120
Jeremy McHone,5,30,11,19,0,0,0,0,10,20,10,20,8,24,23,7,0,0,0,0,0,0,0,0,0,0,0,0,120
Rick Rice,16,14,13,17,0,0,11,19,15,15,16,14,14,16,12,18,0,0,0,0,0,0,0,0,0,0,0,0,113
Gary McHone,13,17,15,15,0,0,0,0,14,16,13,17,0,0,22,8,0,0,0,0,0,0,0,0,0,0,0,0,73
Drew Galloway,14,16,16,14,0,0,0,0,0,0,17,13,16,14,17,13,0,0,0,0,0,0,0,0,0,0,0,0,70
Denny Scott,0,0,0,0,0,0,12,18,0,0,20,10,15,15,16,14,0,0,0,0,0,0,0,0,0,0,0,0,57
Todd Lemp,0,0,17,13,0,0,0,0,0,0,0,0,13,17,10,20,0,0,0,0,0,0,0,0,0,0,0,0,50
Michael Busse,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
John Ewing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven Widmer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
