2017 Jr. Yamaha Can Race #2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Race 1,,Race 2,,Race 3,,Race 4,,Race 5,,Race 6,,Race 7,,Race 8,,Race 9,,Race 10,,Race 11,,Race 12,,Race 13,,Race 14,,
,4/02/17,,4/09/17,,4/30/17,,5/14/17,,6/11/17,,6/25/17,,7/01/17,,7/02/17,,7/23/17,,8/27/17,,9/03/17,,09/16/17,,09/17/17,,10/08/17,,
Driver,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Total
Andrew Bische,7,26,10,20,0,0,1,50,2,42,2,42,5,30,3,35,2,42,0,0,0,0,0,0,0,0,0,0,287
Brennan Hanville,3,35,2,42,0,0,6,28,7,26,6,28,6,28,5,30,7,26,0,0,0,0,0,0,0,0,0,0,243
Gavin Bayliff,2,42,1,50,0,0,0,0,9,22,3,35,4,32,4,32,6,28,0,0,0,0,0,0,0,0,0,0,241
Zack Pretorius,6,28,3,35,0,0,16,14,1,50,7,26,3,35,0,0,5,30,0,0,0,0,0,0,0,0,0,0,218
Matthew Mockabee,0,0,4,32,0,0,2,42,3,35,10,20,7,26,11,19,3,35,0,0,0,0,0,0,0,0,0,0,209
Jackson Lee,4,32,9,22,0,0,4,32,11,19,13,17,10,20,0,0,4,32,0,0,0,0,0,0,0,0,0,0,174
Kendall Hedge,0,0,17,13,0,0,7,26,8,24,9,22,11,19,6,28,9,22,0,0,0,0,0,0,0,0,0,0,154
Kaden Wharff,0,0,0,0,0,0,0,0,0,0,1,50,1,50,1,50,0,0,0,0,0,0,0,0,0,0,0,0,150
Blake Korth,0,0,0,0,0,0,9,22,10,20,12,18,9,22,8,24,15,15,0,0,0,0,0,0,0,0,0,0,121
James Biser,16,14,15,15,0,0,14,16,19,11,16,14,19,11,12,18,11,19,0,0,0,0,0,0,0,0,0,0,118
Hunter Peri,17,13,11,19,0,0,18,12,12,18,17,13,20,10,0,0,8,24,0,0,0,0,0,0,0,0,0,0,109
Caiden Young,9,22,8,24,0,0,3,35,0,0,0,0,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105
Ian Hornish,5,30,6,28,0,0,0,0,21,9,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
Aiden Hinds,0,0,0,0,0,0,0,0,4,32,5,30,0,0,10,20,DQ,DQ,0,0,0,0,0,0,0,0,0,0,82
Finnegan Bayliff,1,50,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
Timothy Steele,10,20,12,18,0,0,19,11,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
Makala Marks,8,24,21,9,0,0,5,30,17,13,0,0,0,0,0,0,DQ,DQ,0,0,0,0,0,0,0,0,0,0,76
Caden Taylor,0,0,18,12,0,0,15,15,18,12,18,12,0,0,0,0,14,16,0,0,0,0,0,0,0,0,0,0,67
Tyler Lemp,0,0,20,10,0,0,0,0,0,0,0,0,14,16,14,16,0,0,0,0,0,0,0,0,0,0,0,0,42
Corbin Gurley,15,15,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
Massimo Sanchez-Lara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
