2017 Yamaha Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Race 1,,Race 2,,Race 3,,Race 4,,Race 5,,Race 6,,Race 7,,Race 8,,Race 9,,Race 10,,Race 11,,Race 12,,Race 13,,Race 14,,
,4/02/17,,4/09/17,,4/30/17,,5/14/17,,6/11/17,,6/25/17,,7/01/17,,7/02/17,,7/23/17,,8/27/17,,9/03/17,,09/16/17,,09/17/17,,10/08/17,,
Driver,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Total
Tony Petersen,4,32,1,50,0,0,2,42,1,50,4,32,1,50,1,50,2,42,0,0,0,0,0,0,0,0,0,0,348
Tim Hollowell,1,50,2,42,0,0,1,50,3,35,2,42,10,20,3,35,1,50,0,0,0,0,0,0,0,0,0,0,324
Tyler Trent,3,35,5,30,0,0,5,30,2,42,1,50,4,32,5,30,2,42,0,0,0,0,0,0,0,0,0,0,291
Abby Willis,2,42,3,35,0,0,4,32,4,32,3,35,2,42,4,32,0,0,0,0,0,0,0,0,0,0,0,0,250
Jacob Clamme,6,28,7,26,0,0,6,28,5,30,9,22,5,30,6,28,5,30,0,0,0,0,0,0,0,0,0,0,222
Meghan Peri,8,24,6,28,0,0,7,26,6,28,8,24,6,28,7,26,0,0,0,0,0,0,0,0,0,0,0,0,184
Olivia Riedling,7,26,8,24,0,0,8,24,7,26,10,20,0,0,0,0,6,28,0,0,0,0,0,0,0,0,0,0,148
Ava Davidson,9,22,9,22,0,0,0,0,9,22,0,0,9,22,11,19,11,19,0,0,0,0,0,0,0,0,0,0,126
Massimo Sanchez-Lara,0,0,0,0,0,0,0,0,0,0,7,26,0,0,9,22,8,24,0,0,0,0,0,0,0,0,0,0,72
Konnor Gutting,0,0,11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
